ID ANSSI,Titre ANSSI,Type,Date,CVE,CVSS,Base Severity,CWE,EPSS,Lien,Description,Éditeur,Produit,Versions affectées
CERTFR-2026-AVI-0632,Multiples vulnérabilités dans les produits Mattermost (22 mai 2026),Avis,"Fri, 22 May 2026 00:00:00 +0000",CVE-2026-6517,6.3,MEDIUM,CWE-522,0.001860000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0632/,Mattermost Desktop App versions <=6.1 5.5.13.0 fail to restrict the allow list of domains to which NTLM credentials were forwarded to in the Mattermost Desktop App which allows any user on a server without the image proxy enabled to intercept other users credentials via embedding an image that routes to an external web server. Mattermost Advisory ID: MMSA-2026-00651,Mattermost,Mattermost,0
CERTFR-2026-AVI-0716,Multiples vulnérabilités dans FreeBSD (10 juin 2026),Avis,"Wed, 10 Jun 2026 00:00:00 +0000",CVE-2026-45257,,,Non disponible,,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0716/,,,,
CERTFR-2026-AVI-0716,Multiples vulnérabilités dans FreeBSD (10 juin 2026),Avis,"Wed, 10 Jun 2026 00:00:00 +0000",CVE-2026-49413,,,Non disponible,,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0716/,,,,
CERTFR-2026-AVI-0732,Vulnérabilité dans LibreNMS (11 juin 2026),Avis,"Thu, 11 Jun 2026 00:00:00 +0000",,,,,,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0732/,,,,
CERTFR-2026-AVI-0742,Multiples vulnérabilités dans les produits NetApp (12 juin 2026),Avis,"Fri, 12 Jun 2026 00:00:00 +0000",CVE-2024-12905,7.5,HIGH,CWE-59,0.018950000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0742/,"An Improper Link Resolution Before File Access (""Link Following"") and Improper Limitation of a Pathname to a Restricted Directory (""Path Traversal""). This vulnerability occurs when extracting a maliciously crafted tar file, which can result in unauthorized file writes or overwrites outside the intended extraction directory. The issue is associated with index.js in the tar-fs package.

This issue affects tar-fs: from 0.0.0 before 1.16.4, from 2.0.0 before 2.1.2, from 3.0.0 before 3.0.8.",Inconnu,Inconnu,"0.0.0, 2.0.0, 3.0.0"
CERTFR-2026-AVI-0742,Multiples vulnérabilités dans les produits NetApp (12 juin 2026),Avis,"Fri, 12 Jun 2026 00:00:00 +0000",CVE-2025-22870,,,Non disponible,0.003500000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0742/,"Matching of hosts against proxy patterns can improperly treat an IPv6 zone ID as a hostname component. For example, when the NO_PROXY environment variable is set to ""*.example.com"", a request to ""[::1%25.example.com]:80` will incorrectly match and not be proxied.",Go standard library,net/http,"0, 1.24.0-0"
CERTFR-2026-AVI-0742,Multiples vulnérabilités dans les produits NetApp (12 juin 2026),Avis,"Fri, 12 Jun 2026 00:00:00 +0000",CVE-2025-22870,,,Non disponible,0.003500000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0742/,"Matching of hosts against proxy patterns can improperly treat an IPv6 zone ID as a hostname component. For example, when the NO_PROXY environment variable is set to ""*.example.com"", a request to ""[::1%25.example.com]:80` will incorrectly match and not be proxied.",golang.org/x/net,golang.org/x/net/http/httpproxy,0
CERTFR-2026-AVI-0742,Multiples vulnérabilités dans les produits NetApp (12 juin 2026),Avis,"Fri, 12 Jun 2026 00:00:00 +0000",CVE-2025-22870,,,Non disponible,0.003500000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0742/,"Matching of hosts against proxy patterns can improperly treat an IPv6 zone ID as a hostname component. For example, when the NO_PROXY environment variable is set to ""*.example.com"", a request to ""[::1%25.example.com]:80` will incorrectly match and not be proxied.",golang.org/x/net,golang.org/x/net/proxy,0
CERTFR-2026-AVI-0742,Multiples vulnérabilités dans les produits NetApp (12 juin 2026),Avis,"Fri, 12 Jun 2026 00:00:00 +0000",CVE-2025-47907,,,Non disponible,0.003310000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0742/,"Cancelling a query (e.g. by cancelling the context passed to one of the query methods) during a call to the Scan method of the returned Rows can result in unexpected results if other queries are being made in parallel. This can result in a race condition that may overwrite the expected results with those of another query, causing the call to Scan to return either unexpected results from the other query or an error.",Go standard library,database/sql,"0, 1.24.0"
CERTFR-2026-AVI-0742,Multiples vulnérabilités dans les produits NetApp (12 juin 2026),Avis,"Fri, 12 Jun 2026 00:00:00 +0000",CVE-2023-24531,,,Non disponible,0.008330000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0742/,"Command go env is documented as outputting a shell script containing the Go environment. However, go env doesn't sanitize values, so executing its output as a shell script can cause various bad bahaviors, including executing arbitrary commands or inserting new environment variables. This issue is relatively minor because, in general, if an attacker can set arbitrary environment variables on a system, they have better attack vectors than making ""go env"" print them out.",Go toolchain,cmd/go,0
